GeneSymbol	Desnoplastic	Stroma Activated	Immune classical	Pure classical	pure basal-like
ENTPD5	4.20842543464254	4.28862650162546	4.55361402692716	5.04889148110642	4.00980951551331
HMGA2	2.1390835692963	2.74739416086786	1.94036755274582	2.19062823702705	3.95062726765013
PDGFRL	4.72122261939645	4.18792668909483	3.85917379878143	3.70316055071517	3.92479313259967
FUT2	4.09402822471623	4.60433855952818	4.25103935500098	5.43379582219141	3.9045578377106
RASEF	3.88056219145115	4.42220438844253	4.3911759242265	5.13254301946202	3.89831781748412
KCNE3	4.42962348859132	4.65225238608904	5.29087835718585	6.20057858658737	3.89707061614644
CNIH3	3.68028000762346	4.21018427270948	3.5647783429885	3.67379469378305	3.8940344235676
SFRP1	5.8918744446387	4.72372554530869	4.96755911858676	4.67062675408912	3.89045993179836
ISM1	5.45941409253163	5.6335384927055	4.41142804235883	4.69993384921882	3.88120582326759
APLNR	5.24132283963506	4.39573499142907	4.60980481935578	4.11242951572034	3.85039107713342
RASSF2	5.17592174239486	4.54803740325693	4.69332089471819	4.31604778342407	3.8476678999487
TJP3	3.71159041298507	4.20144026616259	3.95295378174948	4.83577075749519	3.83253554094926
SLC5A3	2.96589739347409	3.41345648123138	3.13539107805114	3.13354298813963	3.83153620952618
EBF2	4.79074375989307	4.0108680440305	4.18744547880229	3.91775446009276	3.81358983773371
AGR3	4.10276752794474	4.66985539147017	4.54977123562573	5.81620050423261	3.81213442870302
PPP1R1B	4.72431474758697	4.64252220318683	5.90311165472071	6.44501887146875	3.77551897465168
RGL1	4.57463685673813	4.22738575735017	4.16460891648481	4.12534597306489	3.76995707124856
SLC35A3	3.49213130987158	3.60731563888961	3.86110390176047	4.05955972857891	3.76687871893072
CENPV	3.8044654166097	4.14062965344053	4.03702640605285	4.77038658116333	3.76403601291797
CLDN18	4.99838784521434	6.08101239047806	7.06050143340639	7.92999881324818	3.74924294539993
